alignment,cause,effect,n,lag,F,p,hac_F,hac_p
C_noshift (naive calendar),INTC,600584.SS,1259,1,35.930333751310364,2.6690240383747313e-09,25.890049190162603,4.1647898889671266e-07
C_noshift (naive calendar),002156.SZ,INTC,1259,1,0.14887480321765317,0.6996783586429749,0.11557070043865547,0.7339458655098542
C_noshift (naive calendar),INTC,002156.SZ,1259,1,28.5941150919534,1.0595612227550614e-07,27.6519722455407,1.7056831625529783e-07
C_noshift (naive calendar),002185.SZ,INTC,1259,1,0.44851641418521876,0.5031635233448349,0.39923330027705,0.5276005547635638
C_noshift (naive calendar),INTC,002185.SZ,1259,1,22.90262579415603,1.906403885786017e-06,20.282527758275307,7.302278250827853e-06
C_noshift (naive calendar),005930.KS,INTC,1259,2,1.5325742361592691,0.21638387121130942,0.9067289124963606,0.4041080966927936
C_noshift (naive calendar),INTC,005930.KS,1259,2,50.710305909253044,6.658642230084767e-22,14.969205733759479,3.762419751240463e-07
C_noshift (naive calendar),4062.T,INTC,1259,1,0.6108290951310273,0.43462322437299605,0.26838050282831155,0.604511531446134
C_noshift (naive calendar),INTC,4062.T,1259,1,157.69926509386508,3.7040208511266493e-34,60.31377532400005,1.6708345701045496e-14
C_noshift (naive calendar),AMKR,INTC,1259,1,0.039402507453561955,0.842685527446458,0.046925294970074895,0.8285377785054008
C_noshift (naive calendar),INTC,AMKR,1259,1,0.17463369603238937,0.6760975938048508,0.12901388061519348,0.7195171015422122
